Incident Date,Incident Exact Time,Incident Time,Incident Year,Incident Day of Week,Incident Category,nhood,Latitude,Longitude,point,,,incident time number
06/01/2018,4:00:00 PM,16,2018,Saturday,Assault,Mission,37.75919,-122.40977,"(37.759194009287654, -122.40977012254064)",,,0.67
07/01/2018,4:47:00 PM,17,2018,Sunday,Burglary,Chinatown,37.79629,-122.41172,"(37.796290764675476, -122.41171893926939)",,,0.70
07/01/2018,5:00:00 PM,17,2018,Sunday,Assault,South of Market,37.77527,-122.41591,"(37.77527205930737, -122.4159081801724)",,,0.71
07/01/2018,12:06:00 AM,0,2018,Sunday,Burglary,Bayview Hunters Point,37.73669,-122.39569,"(37.736686282580905, -122.39568562829403)",,,0.00
07/01/2018,11:40:00 PM,24,2018,Sunday,Assault,Financial District/South Beach,37.78491,-122.4048,"(37.784908299430455, -122.40479506275997)",,,0.99
01/01/2018,2:35:00 AM,3,2018,Monday,Assault,Tenderloin,37.77772,-122.4164,"(37.777722750028566, -122.41640107183976)",,,0.11
06/01/2018,8:15:00 PM,20,2018,Saturday,Assault,Mission,37.76258,-122.42166,"(37.76257883049033, -122.42166247826907)",,,0.84
01/01/2018,3:37:00 AM,4,2018,Monday,Assault,South of Market,37.77946,-122.40238,"(37.779458714779906, -122.40237749311285)",,,0.15
08/01/2018,2:49:00 AM,3,2018,Monday,Assault,Mission,37.77101,-122.41965,"(37.77100577130384, -122.41964545936246)",,,0.12
08/01/2018,4:45:00 AM,5,2018,Monday,Assault,Golden Gate Park,37.76825,-122.45335,"(37.768246024114525, -122.45335228997452)",,,0.20
08/01/2018,5:00:00 AM,5,2018,Monday,Burglary,Bayview Hunters Point,37.73865,-122.40081,"(37.73864877116737, -122.40080826801052)",,,0.21
08/01/2018,5:00:00 AM,5,2018,Monday,Burglary,Bayview Hunters Point,37.73865,-122.40081,"(37.73864877116737, -122.40080826801052)",,,0.21
08/01/2018,4:56:00 AM,5,2018,Monday,Burglary,Haight Ashbury,37.76938,-122.45187,"(37.769378662723035, -122.4518657283479)",,,0.21
06/01/2018,2:57:00 AM,3,2018,Saturday,Burglary,South of Market,37.77709,-122.39498,"(37.77708933199535, -122.39498148165923)",,,0.12
08/01/2018,8:02:00 AM,8,2018,Monday,Robbery,Presidio Heights,37.78231,-122.44908,"(37.7823143732134, -122.44907940590281)",,,0.33
07/01/2018,3:30:00 AM,4,2018,Sunday,Burglary,Outer Richmond,37.78208,-122.4838,"(37.782076637861074, -122.48380372857787)",,,0.15
08/01/2018,9:00:00 AM,9,2018,Monday,Assault,Mission,37.7585,-122.42127,"(37.758498507780814, -122.42127173012831)",,,0.38
07/01/2018,9:00:00 AM,9,2018,Sunday,Burglary,Hayes Valley,37.77455,-122.4225,"(37.77455093061696, -122.42250219093546)",,,0.38
07/01/2018,11:50:00 PM,24,2018,Sunday,Burglary,Castro/Upper Market,37.76925,-122.43246,"(37.769249649263244, -122.43246434217895)",,,0.99
